Varun,18-03-87,UIN0030,Varun@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,23500
Yash,23-08-81,UIN0031,Yash@mail.com,1287655553,Ahmedabad,Gujarat,APL,380001,23000
Shreya,17-09-84,UIN0032,Shreya@mail.com,9776543221,Mumbai,Maharashtra,BPL,400001,22500
Harshita,17-03-83,UIN0033,Harshita@mail.com,9987765234,Thiruvananthpuram,Kerala,BPL,695001,21500
Anurag,22-02-78,UIN0034,Anurag@mail.com,4335544553,Thiruvananthpuram,Kerala,APL,695001,21500
Vivek,21-08-79,UIN0035,Vivek@mail.com,8888777722,Mumbai,Maharashtra,BPL,400001,25500
Swati,21-06-82,UIN0036,Swati@mail.com,223377882,Ahmedabad,Gujarat,APL,380001,21000
Vishal,23-08-86,UIN0037,Vishal@mail.com,44557768443,Thiruvananthpuram,Kerala,BPL,695001,21000
Aditya,25-08-82,UIN0038,Aditya@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,24500
Nidhi,23-08-83,UIN0039,Nidhi@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,22000
Ayushi,22-08-83,UIN0040,Ayushi@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,20500
Krishna,22-07-84,UIN0041,Krishna@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,20500
Anshika,22-08-85,UIN0042,Anshika@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,23500
Sakshi,22-03-86,UIN0043,Sakshi@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,23000
Shivani,22-02-83,UIN0044,Shivani@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,24500
Prakhar,28-01-84,UIN0045,Prakhar@mail.com,3344990876,Mumbai,Maharashtra,BPL,400001,23500
Mansi,22-09-85,UIN0046,Mansi@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,24500
Tushar,21-10-86,UIN0047,Tushar@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,23000
Abhinav,22-08-83,UIN0048,Abhinav@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,23000
Shivangi,22-08-84,UIN0049,Shivangi@mail.com,3344990876,Thiruvananthpuram,Kerala,BPL,695001,24500
Ashutosh,22-08-85,UIN0050,Ashutosh@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,20500
Adarsh,22-08-86,UIN0051,Adarsh@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,23000
Divya,22-08-81,UIN0052,Divya@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,21000
Piyush,22-08-81,UIN0053,Piyush@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,23000
Pragya,22-08-81,UIN0054,Pragya@mail.com,3344990876,Ahmedabad,Gujarat,APL,380001,23000
Ajay,22-08-87,UIN0055,Ajay@mail.com,3344990876,Thiruvananthpuram,Kerala,BPL,695001,24500
Akanksha,22-08-87,UIN0056,Akanksha@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,21500
Neeraj,22-08-87,UIN0057,Neeraj@mail.com,3344990876,Thiruvananthpuram,Kerala,BPL,695001,20500
Ritika,22-09-87,UIN0058,Ritika@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,22000
Tanya,21-01-87,UIN0059,Tanya@mail.com,3344990876,Thiruvananthpuram,Kerala,BPL,695001,21500
Nisha,18-03-87,UIN0060,Nisha@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,23500
